id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26225021,Cozy room/creative space in modern bed stuy home.,156255637,Titi,Brooklyn,Bedford-Stuyvesant,40.68866,-73.94845,Private room,,30,47,2020-01-02,0.68,2,0,0,
26228457,Brooklyn Brownstone (gray bedroom - single bed),80292073,Julie,Brooklyn,South Slope,40.66201,-73.98125,Private room,88,5,46,2024-10-30,0.60,1,55,23,OSE-STRREG-0000582
26229979,New York Home with a back yard in Central Harlem.,150482926,Yann,Manhattan,Harlem,40.81087,-73.94673,Entire home/apt,,30,3,2018-08-21,0.04,1,0,0,
26232008,Large Private Room btwn Central/Riverside Parks,28071093,Kathleen,Manhattan,Upper West Side,40.80204,-73.96642,Private room,,30,5,2018-09-25,0.07,1,0,0,
26235873,Voted #1 Airbnb In NYC,197169969,Maria,Queens,Jamaica,40.68981,-73.80105,Entire home/apt,80,30,31,2023-09-28,0.40,1,365,0,
26240434,Amazing apartment,38969811,Lea,Manhattan,Upper East Side,40.78206,-73.95315,Private room,,30,0,,,1,0,0,
26249051,Luxury UES 1 bed 1 bath Doorman & Elevator,12729029,Zahi,Manhattan,Upper East Side,40.76508,-73.96205,Entire home/apt,250,30,0,,,1,273,0,
26249544,Private insuite bathroom in sunny room,22577148,Diana,Brooklyn,Bedford-Stuyvesant,40.6957,-73.93488,Private room,230,5,131,2024-10-20,1.71,4,19,32,OSE-STRREG-0000003
26250476,Quiet Homestead in the city,102228163,Cesar,Brooklyn,Carroll Gardens,40.67839,-74.00162,Entire home/apt,,30,3,2018-10-30,0.04,1,0,0,
26251173,Large bedroom close to M & L trains with backyard,71742050,Jameel,Brooklyn,Bushwick,40.70067,-73.91395,Private room,,30,0,,,1,0,0,
26251408,Sunny Bedstuy Brooklyn Apartment,17673366,Shayna,Brooklyn,Bushwick,40.69486,-73.93135,Private room,,30,0,,,1,0,0,
26254270,Ridgewood Artist enclave,138734174,Nikki,Queens,Ridgewood,40.70593,-73.90662,Entire home/apt,,30,1,2018-08-14,0.01,1,0,0,
26257823,Sunny Unique Lofted Bedroom w/Private Bathroom!,186110692,John,Brooklyn,Bushwick,40.68818,-73.91933,Private room,,30,46,2023-01-25,0.60,1,0,0,
26270554,Spacious & primely-located Brooklyn apartment,28186801,Kate,Brooklyn,Williamsburg,40.71714,-73.95052,Entire home/apt,,30,0,,,1,0,0,
26271462,3+ Bedroom House - Perfect For A Family Visit!,197487133,Susye,Brooklyn,Windsor Terrace,40.65163,-73.97435,Entire home/apt,,30,2,2020-01-05,0.03,1,0,0,
26272989,Prospect Heights Lofty duplex with private patio,19562,Putri,Brooklyn,Prospect Heights,40.67904,-73.96453,Entire home/apt,,30,1,2020-08-31,0.02,1,0,0,
26274490,Comfy room ii,197516314,Genny,Staten Island,Port Richmond,40.63552,-74.13363,Private room,50,30,28,2023-06-25,0.37,2,58,0,
26277801,Upper west side 2bedroom apartment.,187960424,Anqi,Manhattan,Upper West Side,40.79041,-73.96958,Entire home/apt,,30,0,,,1,0,0,
26278372,"Private apartment with a view, stunning location.",17084566,Alfredo,Brooklyn,Flatbush,40.63061,-73.96193,Entire home/apt,,60,13,2019-06-12,0.17,1,0,0,
26280662,Huge private room beautiful park slope near All,30613046,Debbie,Brooklyn,Park Slope,40.68156,-73.97888,Private room,,30,3,2020-01-02,0.04,1,0,0,
